Airfoil: 7037B
Builder: D. Thompson
Comment: clean
1.338   0.0593     9.33
99600
11
-0.014   0.0336    -6.00
0.151   0.0286    -4.46
0.295   0.0265    -2.92
0.426   0.0267    -1.40
0.578   0.0326     0.15
0.679   0.0399     1.67
1.044   0.0306     3.25
1.191   0.0249     4.79
1.265   0.0313     6.32
1.294   0.0403     7.82
1.345   0.0511     9.34
198500
11
0.241   0.0181    -5.92
0.383   0.0144    -4.35
0.525   0.0139    -2.88
0.675   0.0144    -1.25
0.813   0.0150     0.21
0.976   0.0168     1.74
1.161   0.0160     3.26
1.203   0.0230     4.76
1.266   0.0285     6.31
1.323   0.0353     7.81
1.387   0.0444     9.34
297900
11
0.107   0.0223    -7.15
0.403   0.0130    -4.38
0.563   0.0121    -2.85
0.711   0.0129    -1.34
0.861   0.0128     0.19
1.014   0.0129     1.74
1.127   0.0166     3.26
1.168   0.0231     4.77
1.243   0.0278     6.32
1.324   0.0335     7.86
1.389   0.0414     9.33
Airfoil: 7075ATF5
Builder: J. Robertson
Comment: flap = 5 degs: Zig-Zag trip type "D" @ x/c = 68% (h/c = 0.25%)
5
59300
11
-0.063   0.0307    -4.82
0.146   0.0220    -2.43
0.280   0.0232    -0.91
0.424   0.0263     0.63
0.553   0.0350     2.15
0.863   0.0310     3.71
1.018   0.0233     5.26
1.126   0.0322     6.79
1.178   0.0376     8.28
1.237   0.0513     9.83
1.276   0.0752    11.34
99500
11
0.032   0.0244    -4.98
0.166   0.0204    -3.44
0.282   0.0190    -1.93
0.400   0.0201    -0.39
0.601   0.0284     1.63
0.757   0.0288     2.68
1.008   0.0170     4.26
1.102   0.0211     5.80
1.208   0.0277     7.30
1.243   0.0360     8.83
1.296   0.0494    10.34
98800
1
0.897   0.0210     3.42
198900
11
0.095   0.0167    -4.95
0.227   0.0125    -3.56
0.376   0.0106    -1.89
0.521   0.0100    -0.38
0.714   0.0106     1.19
0.895   0.0112     2.77
1.027   0.0142     4.28
