Airfoil A18
Builder R. Cooney
Comment clean
0.099   0.0166    -1.08
0.356   0.0194     0.56
0.501   0.0175     2.08
0.622   0.0183     3.64
0.757   0.0224     5.13
0.864   0.0241     6.44
1.018   0.0263     8.30
1.126   0.0270     9.63
1.217   0.0290    11.05
1.202   0.0368    12.66
202800
14
-0.380   0.0192    -7.05
-0.263   0.0148    -5.60
-0.134   0.0118    -3.85
-0.022   0.0117    -2.47
0.101   0.0116    -1.14
0.248   0.0119     0.38
0.474   0.0118     2.11
0.641   0.0128     3.56
0.775   0.0148     5.15
0.945   0.0183     7.04
1.045   0.0197     8.21
1.154   0.0207     9.78
1.157   0.0310    11.13
1.118   0.0494    12.68
304100
12
-0.284   0.0146    -5.77
-0.188   0.0121    -4.53
-0.019   0.0104    -2.47
0.091   0.0101    -1.29
0.307   0.0099     0.76
0.449   0.0108     2.08
0.634   0.0126     3.59
0.797   0.0126     5.24
0.946   0.0149     6.87
1.068   0.0161     8.27
1.129   0.0181     9.59
1.131   0.0318    11.25
Airfoil GM15
Builder G. Morris
Comment clean
7
40600
8
-0.071   0.0499    -3.62
0.157   0.0261    -1.52
0.362   0.0223     0.66
0.588   0.0217     2.61
0.869   0.0292     4.61
1.091   0.0256     6.83
1.187   0.0256     8.75
1.250   0.0259     9.94
38600
1
1.278   0.0454    10.98
60700
11
-0.032   0.0393    -3.59
0.163   0.0209    -1.91
0.312   0.0206    -0.37
0.466   0.0176     1.07
0.718   0.0209     2.72
0.913   0.0214     4.28
1.034   0.0199     5.74
1.173   0.0203     7.34
1.252   0.0273     8.95
1.308   0.0421    10.38
1.335   0.0557    11.96
100600
9
0.428   0.0168     0.00
0.667   0.0164     1.63
0.833   0.0158     3.13
0.961   0.0164     4.55
1.103   0.0180     6.15
1.206   0.0216     7.58
1.265   0.0345     9.11
1.319   0.0459    10.60
1.350   0.0838    12.45
102100
1
0.221   0.0177    -1.49
101900
1
0.021   0.0315    -3.46
200500
10
0.116   0.0170    -3.41
0.388   0.0110    -1.25
0.492   0.0107    -0.44
0.688   0.0097     1.54
0.811   0.0103     2.77
1.012   0.0125     4.75
1.107   0.0145     5.86
1.218   0.0238     7.66
1.290   0.0332     9.14
1.326   0.0475    10.58
Airfoil GM15F1
Builder G. Morris
Comment reflexed (flap = -8.5 degs)
4
60700
11
-0.341   0.0587    -1.91
-0.170   0.0286    -0.29
-0.026   0.0183     1.20
0.112   0.0135     2.50
0.321   0.0127     4.18
0.464   0.0144     5.60
0.636   0.0191     7.26
0.773   0.0214     8.75
0.879   0.0237    10.36
0.994   0.0249    11.81
1.085   0.0343    13.44
101300
11
-0.336   0.0471    -1.93
-0.151   0.0195    -0.14
-0.020   0.0143     1.31
0.136   0.0115     2.70
0.285   0.0128     4.19
0.431   0.0154     5.63
0.591   0.0179     7.27
0.738   0.0176     8.72
0.897   0.0191    10.42
0.996   0.0294    11.84
1.088   0.0465    13.45
202200
11
-0.276   0.0299    -1.73
-0.088   0.0151     0.09
-0.002   0.0132     1.47
0.163   0.0117     3.07
0.309   0.0115     4.53
0.482   0.0115     5.93
0.644   0.0117     7.46
0.805   0.0136     9.09
0.937   0.0205    10.64
1.034   0.0283    11.96
1.109   0.0482    13.53
302500
11
-0.301   0.0413    -1.99
-0.147   0.0165    -0.49
0.055   0.0120     2.04
0.184   0.0110     3.01
0.343   0.0096     4.54
0.509   0.0093     6.09
0.655   0.0100     7.54
0.798   0.0118     9.00
0.928   0.0175    10.51
1.072   0.0294    12.41
1.133   0.0585    13.77
Airfoil K3311
Builder L. Kincaid
Comment clean
4
61100
11
-0.232   0.0322    -4.25
-0.077   0.0251    -2.71
0.088   0.0179    -1.19
0.337   0.0229     0.58
0.494   0.0264     1.90
0.654   0.0351     3.68
0.775   0.0386     5.07
0.931   0.0447     6.80
1.099   0.0363     8.31
1.222   0.0300     9.89
1.243   0.0424    11.23
101100
11
-0.154   0.0262    -4.09
0.064   0.0189    -2.54
0.168   0.0147    -1.21
0.374   0.0149     0.43
0.538   0.0172     2.12
0.684   0.0187     3.59
0.842   0.0197     5.18
1.005   0.0210     6.83
1.147   0.0215     8.25
1.227   0.0249     9.76
1.233   0.0407    11.22
201800
12
-0.294   0.0434    -5.79
-0.104   0.0199    -4.11
0.037   0.0141    -2.55
0.169   0.0104    -1.07
0.338   0.0095     0.40
0.534   0.0108     2.18
0.683   0.0120     3.52
0.862   0.0132     5.22
1.000   0.0143     6.60
1.141   0.0160     8.15
1.213   0.0263     9.85
1.213   0.0417    11.19
302900
12
-0.238   0.0360    -5.62
-0.117   0.0193    -4.28
0.018   0.0135    -2.78
0.190   0.0089    -1.00
0.355   0.0078     0.47
0.533   0.0088     2.11
0.678   0.0097     3.51
0.858   0.0111     5.25
1.011   0.0121     6.83
1.115   0.0146     8.16
1.184   0.0264    10.05
1.190   0.0479    11.68
Airfoil M06B
Builder M. allen
Comment clean
4
203200
8
-0.054   0.0462    -3.63
0.051   0.0387    -2.61
0.137   0.0401    -1.65
0.218   0.0491    -0.40
0.259   0.0543     0.35
0.333   0.0603     1.51
0.390   0.0684     2.50
0.458   0.0769     3.57
201000
9
0.504   0.0807     4.23
0.619   0.0880     5.50
0.808   0.0786     6.56
0.968   0.0564     7.46
1.097   0.0401     8.36
1.234   0.0295     9.44
1.362   0.0229    10.51
1.470   0.0219    11.61
1.524   0.0248    12.53
304400
6
-0.113   0.0443    -3.87
0.043   0.0301    -2.46
0.136   0.0283    -1.59
0.229   0.0304    -0.71
0.352   0.0331     0.44
0.468   0.0374     1.63
302200
12
0.468   0.0372     1.63
0.539   0.0381     2.35
0.676   0.0355     3.66
0.747   0.0329     4.34
0.858   0.0295     5.41
0.980   0.0258     6.54
1.076   0.0233     7.43
1.193   0.0207     8.50
1.297   0.0185     9.45
1.409   0.0161    10.52
1.489   0.0177    11.54
1.513   0.0363    12.53
Airfoil MA409
Builder R. Conney
Comment clean
6
40700
7
-0.007   0.0208    -1.98
0.214   0.0162     0.16
0.421   0.0175     2.11
0.745   0.0199     4.32
0.905   0.0239     6.35
1.020   0.0276     8.22
1.091   0.0699    10.34
60800
9
-0.095   0.0240    -2.71
0.038   0.0137    -1.11
0.198   0.0150     0.56
0.384   0.0170     2.03
0.575   0.0173     3.26
0.713   0.0147     4.89
0.835   0.0189     6.36
0.931   0.0289     7.98
1.012   0.0422     9.58
101500
10
-0.249   0.0264    -4.39
-0.104   0.0184    -2.61
